"crater_name","location","latitude","longitude","diameter_km","age_ma","exposed","drilled","target_rock","bolide_type"
"Boltysh","Ukraine","N 48° 45'","E 32° 10'","24","65.17 ± 0.64","N","N","C","Chondrite"
"Dellen","Sweden","N 61° 48'","E 16° 48'","19","89.0 ± 2.7","Y","N","C","Stone?"
"Dobele","Latvia","N 56° 35'","E 23° 15'","4.5","290 ± 35","N","Y","S","-"
"Gardnos","Norway","N 60° 39'","E 9° 0'","5","500 ± 10","Y","N","C","Chondrite"
"Granby","Sweden","N 58° 25'","E 14° 56'","3","~ 470","N","Y","M","-"
"Hummeln","Sweden","N 57°22'","E 16° 15'","~ 1.2","~ 443-470","Y","N","C","Chondrite"
"Ilumetsä","Estonia","N 57° 58'","E 27° 25'","0.08","~ 0.0066","Y","Y","S","-"
"Ilyinets","Ukraine","N 49° 7'","E 29° 6'","8.5","378 ± 5*","N","Y","M","Iron?"
"Iso-Naakkima","Finland","N 62° 11'","E 27° 9'","3","> 1000","N","Y","S","-"
"Kaalijärv","Estonia","N 58° 24'","E 22° 40'","0.11","0.004 ± 0.001","Y","N","S","IAB"
"Kärdla","Estonia","N 59° 1'","E 22° 46'","7","~ 455","N","Y","M","-"
"Karikkoselkä","Finland","N 62° 13'","E 25° 15'","1.5","~230","Y","-","C","-"
"Keurusselkä","Finland","N 62° 8'","E 24° 36'","30","<1800","Y","N","C","-"
"Lappajärvi","Finland","N 63° 12'","E 23° 42'","23","76.20 ± 0.29","Y","Y","M","Chondrite"
"Lockne","Sweden","N 63° 0'","E 14° 49'","7.5","~ 458","Y","Y","M","-"
"Logoisk","Belarus","N 54° 12'","E 27° 48'","15","42.3 ± 1.1","N","Y","M","-"
"Lumparn","Finland","N 60° 9'","E 20° 6'","9","~ 1000","N","Y","M","-"
"Målingen","Sweden","N 62°55'","E 14°33'","1","~ 458","Y","Y","M","-"
"Mien","Sweden","N 56° 25'","E 14° 52'","9","121.0 ± 2.3","Y","Y","C","Stone?"
"Mizarai","Lithuania","N 54° 1'","E 23° 54'","5","500 ± 20","N","Y","C","-"
"Mjølnir","Norway","N 73° 48'","E 29° 40'","40","142.0 ± 2.6","N","Y","S","-"
"Morasko","Poland","N 52° 29'","E 16° 54'","0.1","< 0.01","Y","N","S","Octahedrite fragments"
"Neugrund","Estonia","N 59° 20'","E 23° 40'","8","~ 535","N","-","S","-"
"Obolon'","Ukraine","N 49° 35'","E 32° 55'","20","169 ± 7","N","Y","M","Iron?"
"Paasselkä","Finland","N 62° 2'","E 29° 5'","10","< 1800","Y","Y","-","-"
"Ries","Germany","N 48° 53'","E 10° 37'","24","15.1 ± 0.1","Y","Y","M","Achondrite"
"Ritland","Norway","N 59° 14'","E 6° 26'","2.7","520 ± 20","Y","N","C","-"
"Rochechouart","France","N 45° 50'","E 0° 56'","23","201 ± 2","Y","N","C","Chondrite? Iron?"
"Rotmistrovka","Ukraine","N 49° 0'","E 32° 0'","2.7","120 ± 10","N","Y","C","-"
"Sääksjärvi","Finland","N 61° 24'","E 22° 24'","6","~ 560","Y","Y","M","Stony-iron?"
" Saarijärvi","Finland","N 65° 17'","E 28° 23'","1.5","> 600","-","Y","C","-"
"Siljan","Sweden","N 61° 2'","E 14° 52'","52","376.8 ± 1.7","Y","Y","M","-"
"Söderfjärden","Finland","N 63° 2'","E 21° 35'","6.6","~ 600","N","Y","C","-"
"Steinheim","Germany","N 48° 41'","E 10° 4'","3.8","15 ± 1","Y","Y","S","-"
"Suvasvesi N","Finland","N 62° 42'","E 28° 10'","4","< 1000","N","Y","C","-"
"Suvasvesi S","Finland","N 62°36'","E 28° 13'","3.8","~ 250","N","N","C","-"
"Ternovka","Ukraine","N 48° 08'","E 33° 31'","11","280 ± 10","N","Y","C","Chondrite?"
"Tvären","Sweden","N 58° 46'","E 17° 25'","2","~ 455","N","Y","M","-"
"Vepriai","Lithuania","N 55° 5'","E 24° 35'","8","> 160 ± 10","N","Y","S","-"
"Zapadnaya","Ukraine","N 49° 44'","E 29° 0'","3.2","165 ± 5","N","Y","C","-"
"Zeleny Gai","Ukraine","N 48° 4'","E 32° 45'","3.5","80 ± 20","N","Y","C","-"
Kara,Russia,N 69° 6',E 64° 9',65,70.3 ± 2.2,N,Y,M,Chondrite
Karla,Russia,N 54° 55',E 48° 2',10,5 ± 1,Y,Y,S,-
Kamensk,Russia,N 48° 21',E 40° 30',25,49.0 ± 0.2,N,Y,S,-
Kamenetsk,Ukraine,N 47° 46',E 32° 21',1.2-4,2100-11.63,N,Y,C,-
Mishina Gora,Russia,N 58° 43',E 28° 3',2.5,300 ± 50,Y,Y,M,-
Jänisjärvi,Russia,N 61° 58',E 30° 55',14,700 ± 5,Y,N,C-Ms,-
Suavjärvi,Russia,N 63° 7',E 33° 23',16,~ 2400,-,-,C-Ms,-
Kaluga,Russia,N 54° 30',E 36° 12',15,380 ± 5,N,Y,M,-
Puchezh-Katunki,Russia,N 56° 58',E 43° 43',40,167 ± 3,N,Y,M,-
Kursk,Russia,N 51° 42',E 36° 0',6,250 ± 80,N,Y,M,-
